Theme,Word,TFIDF Weight
(social connectedness),connection,0.18253038757249157
(social connectedness),effective_communication,0.15516750540890503
(social connectedness),empathic_resonance,0.2019446614314755
(social connectedness),face,0.2512072602748448
(social connectedness),kin,0.22930754359506203
(social connectedness),partner,0.3879187635222626
(social connectedness),people,0.2699406840826068
(social connectedness),support,0.23275125811335756
(social connectedness),way,0.16976962511201243
(social support),behavior,0.2195218608980415
(social support),culture,0.12345566220989307
(social support),effective_communication,0.1411112421781953
(social support),freedom,0.15230065276081187
(social support),health,0.12345566220989307
(social support),human,0.18365096448998638
(social support),nervous_system,0.36730192897997277
(social support),partner,0.3527781054454882
(social support),people,0.2454873856800585
(social support),right,0.18365096448998638
(social support),socially_dependent,0.18365096448998638
(social support),specie,0.1659953845216842
(social support),support,0.21166686326729292
(social support),threat,0.19747609549544393
(social support),type,0.13165073033029595
(social support),wellbeing,0.1659953845216842
(evidence-based decision-making),classroom_education,0.37612498685716056
(evidence-based decision-making),communication,0.23745224469450996
(evidence-based decision-making),course,0.29939808586486566
(evidence-based decision-making),effect,0.29939808586486566
(evidence-based decision-making),idea,0.23745224469450996
(evidence-based decision-making),internet,0.3312426269801232
(evidence-based decision-making),people,0.33208055869308684
(evidence-based decision-making),rather_than,0.2746975408018049
(evidence-based decision-making),research,0.2545157259878283
(evidence-based decision-making),sense,0.2545157259878283
(evidence-based decision-making),subject,0.37612498685716056
(improved work-life balance),balance,0.24266108678371248
(improved work-life balance),company,0.15242398396371776
(improved work-life balance),effective_communication,0.20628409327783095
(improved work-life balance),employee,0.15242398396371776
(improved work-life balance),partner,0.5157102331945774
(improved work-life balance),support,0.3094261399167464
(improved work-life balance),work,0.48532217356742496
(acknowledge of uncertainty/flexibility),capacity,0.24299754794676273
(acknowledge of uncertainty/flexibility),challenge,0.17512490246089102
(acknowledge of uncertainty/flexibility),compassion,0.15009647131267914
(acknowledge of uncertainty/flexibility),crisis,0.2251447069690187
(acknowledge of uncertainty/flexibility),empathy,0.1313166759447487
(acknowledge of uncertainty/flexibility),fact,0.1313166759447487
(acknowledge of uncertainty/flexibility),feeling,0.19534490163659363
(acknowledge of uncertainty/flexibility),flexibility,0.19534490163659363
(acknowledge of uncertainty/flexibility),people,0.35903827319976667
(acknowledge of uncertainty/flexibility),possibility,0.33272030488886645
(acknowledge of uncertainty/flexibility),uncertainty,0.35313021253732635
(acknowledge of uncertainty/flexibility),value,0.30906959089173786
(balance of personal & others interest),balance,0.16969396656576083
(balance of personal & others interest),effective_communication,0.14425537481803652
(balance of personal & others interest),freedom,0.46708229783631106
(balance of personal & others interest),mean,0.23354114891815553
(balance of personal & others interest),partner,0.36063843704509135
(balance of personal & others interest),people,0.12547857381078592
(balance of personal & others interest),security,0.3754858692937023
(balance of personal & others interest),situation,0.13664476689131727
(balance of personal & others interest),support,0.21638306222705478
(perspective taking),capacity,0.1518122330375479
(perspective taking),courage,0.20786634634345702
(perspective taking),empathic_resonance,0.1220413373736947
(perspective taking),empathy,0.1640796623561644
(perspective taking),freedom,0.3036244660750958
(perspective taking),humility,0.13857756422897136
(perspective taking),manager,0.20786634634345702
(perspective taking),mean,0.1518122330375479
(perspective taking),people,0.34665850515639274
(perspective taking),perspective_taking,0.14065870627237517
(perspective taking),security,0.2440826747473894
(perspective taking),way,0.12824622316848908
(critical thinking),activity,0.1730442610583075
(critical thinking),age,0.1730442610583075
(critical thinking),consequence,0.1523951814415245
(critical thinking),conversation,0.12638041774298478
(critical thinking),expert,0.4326106526457688
(critical thinking),fear,0.1730442610583075
(critical thinking),information,0.3823572583437758
(critical thinking),internet,0.1523951814415245
(critical thinking),life,0.15286608075732552
(critical thinking),people,0.15278068966127537
(critical thinking),risk,0.1730442610583075
(critical thinking),skill,0.13774442629740183
(critical thinking),travel,0.1730442610583075
(bipartisanship and international cooperation),common_good,0.17154912353942822
