i,j,alpha,weight
systematic_contributor,compassion,0.36,0.19737416949959857
systematic_contributor,empathy,0.3079,0.22212322055236697
systematic_contributor,lived_experience,0.5249,0.1322160013886541
high_fidelity,each_other,0.4999,0.17354382868830354
welfare,institution,0.4626,0.12559870127516504
secure_network,network,0.4167,0.18361686808747207
secure_network,security,0.6125,0.13115470607167815
such_funny,trust,0.5074,0.1281822365207231
face,each_other,0.5158,0.13227797913460138
face,neighborhood,0.5245,0.19314915656709752
face,people,0.5293,0.13995790660407503
face,touch,0.6458,0.15113092672668071
notion,people,0.4435,0.17840343438270093
notion,reflection,0.433,0.18359864861122352
notion,state,0.4154,0.19811285790987376
moral_decent,creature,0.3541,0.17660052781641078
moral_decent,each_other,0.5056,0.12008881067386395
moral_decent,form,0.3541,0.17660052781641078
moral_decent,rather_than,0.4681,0.13181605155526196
moral_decent,recognition,0.4295,0.16007191012653535
wellbeing,each_other,0.4999,0.17354382868830354
inequality,foundation,0.3918,0.16022445956794754
inequality,institution,0.4605,0.12633589614098265
inequality,scaffolding,0.3918,0.16022445956794754
inequality,solution_lie,0.3918,0.16022445956794754
person,interaction,0.5861,0.137634088029291
person,people,0.4041,0.2231397036461309
person,rather_than,0.4509,0.1379019013764566
person,trust,0.358,0.19132604136561143
patience,crisis,0.4606,0.133828231827337
virus,biological_being,0.4264,0.19352145671756732
society,institution,0.5036,0.1656163716586557
society,long_term,0.5483,0.14802898359827527
reverse_overnight,institution,0.4626,0.12559870127516504
problem,each_other,0.5153,0.18454649141887713
problem,people,0.5671,0.16149964829296506
resource,community,0.5158,0.12032502787806575
resource,support,0.6131,0.1281852245268368
resilience,access,0.4682,0.13604797126792784
resilience,country,0.4792,0.13217519055205112
resilience,mental_health,0.4682,0.13604797126792784
resilience,rise,0.5119,0.12108685766019507
resilience,support,0.522,0.16810770678635642
consequence,deindividuation,0.5603,0.12501545272442824
consequence,eye_contact,0.4923,0.18752317908664234
consequence,people,0.5194,0.1440486852118511
deindividuation,eye_contact,0.4211,0.22324153994227808
end,each_other,0.5491,0.15052005790808703
compassion,conservatism,0.5959,0.12084255939546011
compassion,countervailing_force,0.5959,0.12084255939546011
compassion,country,0.4765,0.1755029906269689
compassion,diverse_perspective,0.5959,0.12084255939546011
compassion,empathy,0.2507,0.3802900430630976
compassion,foresight,0.5959,0.12084255939546011
compassion,lived_experience,0.36,0.19737416949959857
compassion,people,0.2234,0.32584564967455487
compassion,rough_edge,0.5959,0.12084255939546011
compassion,short_supply,0.5959,0.12084255939546011
compassion,technology,0.4045,0.22258022212772136
compassion,world,0.4966,0.1577756164909213
empathy,life,0.5838,0.14548421615118845
empathy,lived_experience,0.3079,0.22212322055236697
empathy,people,0.529,0.14005701513653313
process,crisis,0.4606,0.133828231827337
interaction,context,0.2218,0.2657757029236257
interaction,extent,0.5259,0.12045044530227615
interaction,master_sensitivity,0.5245,0.13288785146181284
interaction,place_determine,0.5245,0.13288785146181284
interaction,role_played,0.5245,0.13288785146181284
interaction,trust,0.5248,0.12198437526793045
fund_public,alternative,0.4429,0.23570186206653304
word,trust,0.5074,0.1281822365207231
tendency,default_response,0.3796,0.14832230367084948
tendency,don,0.4505,0.12379435652172957
tendency,influence,0.4185,0.13444033693739976
tendency,people,0.4577,0.12149217228934961
tendency,worldview,0.4572,0.14832230367084948
tendency,worldview_shaped,0.4572,0.14832230367084948
biological_being,ethnicity,0.474,0.2224612149362369
biological_being,prejudice_issue,0.25,0.2454319933170262
biological_being,psychology,0.3191,0.20616318830393504
biological_being,race_gender,0.25,0.2454319933170262
people,care,0.5165,0.14528701277112904
people,child,0.5438,0.13406150406924802
people,community,0.4023,0.19953272523041346
people,contact,0.4383,0.1809584576096979
people,country,0.3359,0.23849625948317563
people,crisis,0.5635,0.12628912675469053
people,don,0.5612,0.12715297928815453
people,each_other,0.1501,0.410122916141634
people,eye_contact,0.5153,0.14577353124754602
people,group,0.4645,0.16835185820895993
people,health,0.5718,0.12307774484603469
people,idea,0.5473,0.13265198574002668
people,institution,0.5634,0.12630487188546252
people,life,0.1752,0.37754449868416307
people,long_term,0.4044,0.1984193807087089
people,mask,0.5466,0.13291119493091433
people,member,0.5743,0.12214555111054329
people,network,0.5727,0.12275476568509898
people,point,0.5667,0.12505577092049597
people,rather_than,0.313,0.19522852678027997
people,reason,0.463,0.13817052529753926
people,reflection,0.4084,0.19462086028276976
people,solidarity,0.605,0.13058602704428487
people,state,0.3993,0.2057494476089069
people,support,0.5487,0.15583135031270073
people,technology,0.4584,0.1947215127612463
people,trust,0.4839,0.13688367936681334
people,way,0.4186,0.27192506341567096
people,world,0.4054,0.19856204511243591
bad_stuff,life,0.4857,0.1937689343686711
government,alternative,0.3667,0.17592976185287607
government,institution,0.4682,0.12368436987980416
government,trust,0.5052,0.1289668939799148
context,extent,0.4313,0.13288785146181284
context,master_sensitivity,0.4755,0.14660951249968626
context,place_determine,0.4755,0.14660951249968626
